name,alpha-3,FileName,URL
Senegal,SEN,SEN.png,https://github.com/dalezak/CountryMapImages/blob/master/SEN.png?raw=true
Singapore,SGP,SGP.png,https://github.com/dalezak/CountryMapImages/blob/master/SGP.png?raw=true
South Georgia and the South Sandwich Islands,SGS,SGS.png,https://github.com/dalezak/CountryMapImages/blob/master/SGS.png?raw=true
"Saint Helena, Ascension and Tristan da Cunha",SHN,SHN.png,https://github.com/dalezak/CountryMapImages/blob/master/SHN.png?raw=true
Svalbard and Jan Mayen,SJM,SJM.png,https://github.com/dalezak/CountryMapImages/blob/master/SJM.png?raw=true
Solomon Islands,SLB,SLB.png,https://github.com/dalezak/CountryMapImages/blob/master/SLB.png?raw=true
Sierra Leone,SLE,SLE.png,https://github.com/dalezak/CountryMapImages/blob/master/SLE.png?raw=true
El Salvador,SLV,SLV.png,https://github.com/dalezak/CountryMapImages/blob/master/SLV.png?raw=true
San Marino,SMR,SMR.png,https://github.com/dalezak/CountryMapImages/blob/master/SMR.png?raw=true
Somalia,SOM,SOM.png,https://github.com/dalezak/CountryMapImages/blob/master/SOM.png?raw=true
Saint Pierre and Miquelon,SPM,SPM.png,https://github.com/dalezak/CountryMapImages/blob/master/SPM.png?raw=true
Serbia,SRB,SRB.png,https://github.com/dalezak/CountryMapImages/blob/master/SRB.png?raw=true
South Sudan,SSD,SSD.png,https://github.com/dalezak/CountryMapImages/blob/master/SSD.png?raw=true
Sao Tome and Principe,STP,STP.png,https://github.com/dalezak/CountryMapImages/blob/master/STP.png?raw=true
Suriname,SUR,SUR.png,https://github.com/dalezak/CountryMapImages/blob/master/SUR.png?raw=true
Slovakia,SVK,SVK.png,https://github.com/dalezak/CountryMapImages/blob/master/SVK.png?raw=true
Slovenia,SVN,SVN.png,https://github.com/dalezak/CountryMapImages/blob/master/SVN.png?raw=true
Sweden,SWE,SWE.png,https://github.com/dalezak/CountryMapImages/blob/master/SWE.png?raw=true
Swaziland,SWZ,SWZ.png,https://github.com/dalezak/CountryMapImages/blob/master/SWZ.png?raw=true
Sint Maarten (Dutch part),SXM,SXM.png,https://github.com/dalezak/CountryMapImages/blob/master/SXM.png?raw=true
Seychelles,SYC,SYC.png,https://github.com/dalezak/CountryMapImages/blob/master/SYC.png?raw=true
Syrian Arab Republic,SYR,SYR.png,https://github.com/dalezak/CountryMapImages/blob/master/SYR.png?raw=true
Turks and Caicos Islands,TCA,TCA.png,https://github.com/dalezak/CountryMapImages/blob/master/TCA.png?raw=true
Chad,TCD,TCD.png,https://github.com/dalezak/CountryMapImages/blob/master/TCD.png?raw=true
Togo,TGO,TGO.png,https://github.com/dalezak/CountryMapImages/blob/master/TGO.png?raw=true
Thailand,THA,THA.png,https://github.com/dalezak/CountryMapImages/blob/master/THA.png?raw=true
Tajikistan,TJK,TJK.png,https://github.com/dalezak/CountryMapImages/blob/master/TJK.png?raw=true
Tokelau,TKL,TKL.png,https://github.com/dalezak/CountryMapImages/blob/master/TKL.png?raw=true
Turkmenistan,TKM,TKM.png,https://github.com/dalezak/CountryMapImages/blob/master/TKM.png?raw=true
Timor-Leste,TLS,TLS.png,https://github.com/dalezak/CountryMapImages/blob/master/TLS.png?raw=true
Tonga,TON,TON.png,https://github.com/dalezak/CountryMapImages/blob/master/TON.png?raw=true
Trinidad and Tobago,TTO,TTO.png,https://github.com/dalezak/CountryMapImages/blob/master/TTO.png?raw=true
Tunisia,TUN,TUN.png,https://github.com/dalezak/CountryMapImages/blob/master/TUN.png?raw=true
Turkey,TUR,TUR.png,https://github.com/dalezak/CountryMapImages/blob/master/TUR.png?raw=true
Tuvalu,TUV,TUV.png,https://github.com/dalezak/CountryMapImages/blob/master/TUV.png?raw=true
"Taiwan, Province of China",TWN,TWN.png,https://github.com/dalezak/CountryMapImages/blob/master/TWN.png?raw=true
"Tanzania, United Republic of",TZA,TZA.png,https://github.com/dalezak/CountryMapImages/blob/master/TZA.png?raw=true
Uganda,UGA,UGA.png,https://github.com/dalezak/CountryMapImages/blob/master/UGA.png?raw=true
Ukraine,UKR,UKR.png,https://github.com/dalezak/CountryMapImages/blob/master/UKR.png?raw=true
United States Minor Outlying Islands,UMI,UMI.png,https://github.com/dalezak/CountryMapImages/blob/master/UMI.png?raw=true
Uruguay,URY,URY.png,https://github.com/dalezak/CountryMapImages/blob/master/URY.png?raw=true
United States,USA,USA.png,https://github.com/dalezak/CountryMapImages/blob/master/USA.png?raw=true
Uzbekistan,UZB,UZB.png,https://github.com/dalezak/CountryMapImages/blob/master/UZB.png?raw=true
Holy See,VAT,VAT.png,https://github.com/dalezak/CountryMapImages/blob/master/VAT.png?raw=true
Saint Vincent and the Grenadines,VCT,VCT.png,https://github.com/dalezak/CountryMapImages/blob/master/VCT.png?raw=true
Venezuela (Bolivarian Republic of),VEN,VEN.png,https://github.com/dalezak/CountryMapImages/blob/master/VEN.png?raw=true
Virgin Islands (British),VGB,VGB.png,https://github.com/dalezak/CountryMapImages/blob/master/VGB.png?raw=true
Virgin Islands (U.S.),VIR,VIR.png,https://github.com/dalezak/CountryMapImages/blob/master/VIR.png?raw=true
Viet Nam,VNM,VNM.png,https://github.com/dalezak/CountryMapImages/blob/master/VNM.png?raw=true
Vanuatu,VUT,VUT.png,https://github.com/dalezak/CountryMapImages/blob/master/VUT.png?raw=true
Wallis and Futuna,WLF,WLF.png,https://github.com/dalezak/CountryMapImages/blob/master/WLF.png?raw=true
Samoa,WSM,WSM.png,https://github.com/dalezak/CountryMapImages/blob/master/WSM.png?raw=true
Yemen,YEM,YEM.png,https://github.com/dalezak/CountryMapImages/blob/master/YEM.png?raw=true
South Africa,ZAF,ZAF.png,https://github.com/dalezak/CountryMapImages/blob/master/ZAF.png?raw=true
Zambia,ZMB,ZMB.png,https://github.com/dalezak/CountryMapImages/blob/master/ZMB.png?raw=true
Zimbabwe,ZWE,ZWE.png,https://github.com/dalezak/CountryMapImages/blob/master/ZWE.png?raw=true
